date,fix_mid,intrinsic_v1,intrinsic_v2,naive_rw,err_v2,err_rw,ret_basket,kf_state
2023-09-28,3.17775,3.17276201045885,3.1746673382886366,3.17255,0.00308266171136351,0.005199999999999871,6.682428179401774e-05,0.001905327829786598
2023-09-29,3.17325,3.17751835983756,3.1819275477114544,3.17775,-0.008677547711454459,-0.0045000000000001705,-7.2897051525507e-05,0.004409187873894749
2023-10-02,3.18655,3.1750067963693827,3.176389662839352,3.17325,0.010160337160647792,0.01330000000000009,0.0005534736449964376,0.0013828664699695918
2023-10-03,3.19355,3.1882591797906406,3.185363904539374,3.18655,0.00818609546062632,0.007000000000000117,0.000536229331228955,-0.0028952752512668217
2023-10-04,3.18985,3.1947224555828226,3.1920443236116323,3.19355,-0.0021943236116324094,-0.0037000000000002586,0.00036706499421840173,-0.00267813197119016
2023-10-05,3.1828,3.1902182910821626,3.191388745568948,3.18985,-0.008588745568947953,-0.007050000000000001,0.00011545051424809724,0.0011704544867853941
2023-10-06,3.18625,3.183833131069089,3.185976445228887,3.1828,0.00027355477111301596,0.003449999999999953,0.0003245455036870763,0.002143314159797938
2023-10-09,3.1786,3.1861520643909653,3.1854871134537217,3.18625,-0.006887113453721838,-0.007649999999999935,-3.073742304784608e-05,-0.0006649509372437265
2023-10-10,3.16795,3.180357714241992,3.1828286168151583,3.1786,-0.014878616815158452,-0.010650000000000048,0.0005528309404612117,0.0024709025731663456
2023-10-11,3.1621,3.168812856704176,3.1740182209901895,3.16795,-0.011918220990189354,-0.005849999999999689,0.00027233359651331805,0.005205364286013539
2023-10-12,3.17915,3.164087722963124,3.169519301355169,3.1621,0.009630698644830904,0.017049999999999788,0.0006284110164234059,0.005431578392044905
2023-10-13,3.18695,3.1793223777052004,3.1792571903648867,3.17915,0.007692809635113207,0.007800000000000029,5.421984873195238e-05,-6.51873403136802e-05
2023-10-16,3.18295,3.187010761390425,3.187226229595041,3.18695,-0.004276229595041148,-0.0040000000000000036,1.906550501376504e-05,0.00021546820461636586
2023-10-17,3.1793,3.1844210482915463,3.1860384035106977,3.18295,-0.006738403510697655,-0.003649999999999931,0.0004620582989625744,0.0016173552191514205
2023-10-18,3.18135,3.177903735826676,3.1802062972330645,3.1793,0.0011437027669356503,0.0020500000000001073,-0.00043926992237384245,0.002302561406388382
2023-10-19,3.17775,3.182628951082167,3.1830372035149157,3.18135,-0.005287203514915628,-0.0036000000000000476,0.0004019344215988293,0.00040825243274885737
2023-10-20,3.17555,3.1789095988144154,3.1824927844509343,3.17775,-0.006942784450934436,-0.002200000000000202,0.0003648453434550159,0.003583185636518738
2023-10-23,3.17295,3.1763211826290423,3.1814950419882195,3.17555,-0.00854504198821937,-0.0025999999999997137,0.00024282061479486046,0.005173859359177354
2023-10-24,3.17085,3.173954190213233,3.1803427492951584,3.17295,-0.009492749295158198,-0.0020999999999999908,0.00031643465586281326,0.006388559081925486
2023-10-25,3.17765,3.1710591455727855,3.1725390892376684,3.17085,0.0051109107623315,0.006799999999999695,6.59566600720398e-05,0.0014799436648828337
2023-10-26,3.18605,3.1786522200262657,3.1805961797360185,3.17765,0.005453820263981335,0.008399999999999963,0.0003153468793266646,0.0019439597097528018
2023-10-27,3.17455,3.1874871413954553,3.1881758541587963,3.18605,-0.013625854158796358,-0.011499999999999844,0.00045097137991965464,0.0006887127633409017
2023-10-30,3.17225,3.173861717580055,3.1779354793439776,3.17455,-0.005685479343977562,-0.0022999999999999687,-0.00021683610114188483,0.004073761763922492
2023-10-31,3.1729,3.1741887459894023,3.1797715166889695,3.17225,-0.006871516688969681,0.0006499999999998174,0.0006109713265367722,0.005582770699567378
2023-11-01,3.1853,3.1748816432982436,3.177275487158777,3.1729,0.00802451284122263,0.012399999999999967,0.0006243577595993338,0.0023938438605333344
